id;name;category;unit;protein_type;notes
e5268110-462d-4dcc-a03d-bcc938ba1a6d;limão siciliano;fruit;piece;;
189e4a05-6dd6-4d25-a099-9d9644bf65d5;linguiça andouille;protein;g;pork;
889f3e03-0e68-46ae-af80-d65a3de2cb7e;linguiça calabresa;protein;g;charcuterie;
78badb50-2669-4af0-9c1f-ab9f75234f56;linguiça de pernil;protein;cup;charcuterie;
cbd5de32-dad9-4748-b463-09bd7366402b;linguiça portuguesa;protein;g;charcuterie;
4db3ce22-07b9-4104-ba78-77b0cac2c604;linguine;other;g;;
5edd01b2-bca3-4d7a-b677-0a119159763a;lombo suíno;protein;g;pork;
1110ce0e-bb77-4b21-bde5-ab73ed0959c1;lula;protein;g;seafood;
13dac55c-684a-4465-a32d-a05f4ccde598;maionese;seasoning;tbsp;;
f7d984a8-67df-4f19-b921-e0716c587030;mamão;fruit;piece;;
0859727e-f0b2-4af0-86ef-8f25a33a5372;mandioca;vegetable;piece;;
be44ccdc-403d-483a-a8dd-8217fdade617;manga;fruit;piece;;
5296ee58-bbad-441d-957f-81fb8660c826;manjericão;seasoning;cup;;
8c793885-a349-4c45-991f-fef8894714e3;manjericão ;seasoning;cup;;
5596f022-299b-4b1a-b333-735e25b64568;manteiga;dairy;tbsp;;
23770267-df99-4ddb-b898-4f1c72aacc80;manteiga de amendoim;nuts_and_seeds;tbsp;;
4bf0024e-2d99-40ce-9930-5f5bf8e1ed95;manteiga sem sal;dairy;tbsp;;
7c96c53e-319b-4f86-9bda-97579e5a7ab0;margarina;other;tbsp;;
b630246b-a6b1-46be-aa36-4d6a33b08599;mel;sugar_products;tbsp;;
dfcc177c-ebf6-485e-ab23-2745c4f12024;mexilhões;protein;g;seafood;
7de606fb-4513-4a64-a3ea-d37536a103e6;migalhas de pão;grain;cup;;
193b8ed6-1d92-42a6-a6e7-ae6f119d681a;milho de pipoca;grain;cup;;
d461152f-6074-4bcf-b473-b994d05bb996;mirin;seasoning;tbsp;;
0173fe06-59b5-4f87-b873-1606cd880856;molho de ostra;seasoning;tbsp;;
a617f223-4762-4f0d-87d9-1c0aff1c9265;molho de peixe;seasoning;tbsp;;
8eeaa9de-72e3-441e-9787-87bbb99541bb;molho de pimenta;seasoning;tsp;;
4f04d9bf-1e80-4d8a-b53a-44b94a66f0f4;molho de tomate;other;cup;;
481c5060-3655-463d-921a-549084634500;molho hoisin;seasoning;tbsp;;
6599fb59-a7d9-4939-8958-a60627ea0c98;molho inglês;seasoning;tbsp;;
f0ab965d-5689-44b4-b9a6-a6c00759b590;molho italiano;seasoning;tbsp;;
9ced8c3b-85f5-49ab-b72c-0e57b4e26e02;monterey jack cheese;dairy;cup;;
7130d69e-ad4f-4ff1-8649-38ceeaecb009;morangos;fruit;g;;
b13ac07c-61fa-46e6-888b-bebb059bef02;mostarda dijon;seasoning;tbsp;;
c886a36e-3c49-41dc-af73-b4fc82809116;noodles;other;g;;
59e06865-1fb9-4598-b299-94e01391e09a;noz moscada;seasoning;tsp;;
eff5d817-2988-49b2-9ca9-a175f0e2be0a;nozes;nuts_and_seeds;cup;;
65195ff5-8147-40de-83dc-6f65007bfda7;nozes pecan;nuts_and_seeds;cup;;
b5c12ae4-a60e-43ef-bbf8-e108a6adcace;óleo de abacate;other;tbsp;;
f5710761-01ad-4cf2-b11e-40b4451652ad;óleo de amendoim;other;tbsp;;
7f59a989-ad12-4a26-9abc-08967a5f6fe0;óleo de canola;other;tbsp;;
a33cb24a-5831-4149-b66a-c1ef45f53e99;óleo de gergelim;other;tbsp;;
fb3896cf-c265-417c-95e0-8de141d8949e;óleo de gergelim torrado;other;tbsp;;
4ba58e82-2163-42c1-ba57-1698879164ae;óleo vegetal;other;tbsp;;
1e90113a-af9d-44ac-811f-dff7b2abe97d;orégano;seasoning;tsp;;
c18d394d-8db8-4e4a-9112-dce36d0a3e77;ovos ?;protein;piece;other;
72b16a1e-4beb-4777-b71a-a81c66410ce3;ovos;protein;piece;other;
c03d3460-eb16-4c2a-b066-9c34371ba62b;paleta de porco;protein;g;pork;
1b085272-aed0-41b1-9570-54965f5a4ebc;palmito pupunha;vegetable;piece;;
bb12dcdd-72d4-4464-9d2f-e6842a2d4e3a;páprica;seasoning;tsp;;
75d0eaa9-bded-4e96-b60e-e85d6a5b0183;páprica defumada;seasoning;tsp;;
6c0c7ad1-2e9f-4003-a202-0c0565d559d9;pasta de alho;seasoning;tsp;;
6bcbf3f8-7611-44c2-ac98-0abc96a287be;patinho;protein;g;beef;
141b30f1-8208-4e89-935f-9366923636bc;pato;protein;g;chicken;
834e5471-66d6-4353-9056-ef0c1fdb8a2c;pau de canela;seasoning;piece;;
2a64f04b-7272-4a68-97d0-f345e3b20894;peito de frango ?;protein;g;chicken;
df582a71-3194-4015-824b-bb36aa46212d;peito de frango;protein;g;chicken;
11fbbedb-f191-4fb3-85c2-0df2327c3d2b;peito de pato;protein;g;chicken;
39a06166-5016-4be3-82a4-da88d9d1c654;peito de peru;protein;g;chicken;
79d07ab4-71ed-4943-9119-07dc34da1f78;peixe em postas;protein;g;fish;
805c9920-a8e2-44d4-8ae3-011c75516d58;pepino;vegetable;piece;;
94407e3c-6d63-469f-9231-6d9973d02697;pepino em conserva;seasoning;g;;
6c87f36e-2b36-483c-817c-463044b107cc;pepino japonês;vegetable;piece;;
fdb7a80d-84d2-40d1-86d4-134528f95bad;pera;fruit;piece;;
e66cfa1a-1612-435b-9f61-eb9194de0f41;pernil;protein;g;pork;
9795dec4-3c9e-4795-9cc6-3328c15f17a2;pessegos;fruit;piece;;
72d7dc37-096e-4989-8253-6a64a923c116;pimenta;seasoning;tsp;;
0758f78b-ee39-42da-8650-060070e0f1d6;pimenta caiena;seasoning;tsp;;
458d433e-a031-429e-b2e6-ebfd8d82a7d7;pimenta calabresa;seasoning;tsp;;
993b9cbc-b8f5-4089-9cf9-41d3d429f9cc;pimenta chili;vegetable;piece;;
18b1ecfc-b13a-43f3-9b01-2fd16d28355e;pimenta chipotle;vegetable;piece;;
efe8f2f9-d5f9-4caa-aaad-01acadf45cf3;pimenta dedo-de-moça;vegetable;piece;;
71fa8ae3-6ac1-4fac-a631-9feddc45bc89;pimenta do reino;seasoning;tsp;;
1fc29155-38cd-4894-a566-1fd29068904b;pimenta do reino branca;seasoning;pinch;;
8780bb00-6126-4689-bb71-777f6350f599;pimenta jalapeno;vegetable;piece;;
3492bd67-04e1-43ff-8600-d7070c04015a;pimenta malagueta;vegetable;piece;;
219591fc-40e4-44db-aca4-06530340aedf;pimenta thai;vegetable;piece;;
b1218ea3-c772-406c-98cb-baf62fa55636;pimentão amarelo;vegetable;piece;;
0569ed71-4440-4a9a-8afb-e385337d5788;pimentão verde;vegetable;piece;;
4fe0b976-f813-4a1b-be22-775ae11f1276;pimentão vermelho;vegetable;piece;;
af6ccffc-f7f0-4d52-af39-32768bb4aa4c;pimentões;vegetable;piece;;
38018658-3a2d-4f7a-a75a-3b71dac5bf8f;pinhões;nuts_and_seeds;cup;;
025fbbc9-8220-41fe-9e5c-b07d7ffef9e5;pistache;nuts_and_seeds;cup;;
c4b44ade-2eb7-4396-8b3d-30cf35f34e9a;polenta;grain;cup;;
ef4c0842-93a7-4763-ad7e-e8b943b91585;presunto;protein;g;charcuterie;
e9db6300-ec74-47e4-b6a8-5f5456f809b4;presunto de parma;protein;g;pork;
0684ddd0-e2ad-4e99-a6db-3a1c6c6acecf;queijo ?;dairy;cup;;
27f390d4-91bf-4450-89f9-950c0966da84;queijo;dairy;cup;;
f9a2cca4-7300-4990-9370-ddecf5eac3df;queijo cheddar;dairy;cup;;
24e96982-0d3a-4909-bfc3-ae4c5d93b22a;queijo de cabra;dairy;cup;;
4e5ea930-0a65-4f91-9282-ea1f038a3953;queijo feta;dairy;cup;;
d7f763ad-1077-48a7-8c7b-d09312d12567;queijo mascarpone;dairy;cup;;
b064cc9c-0147-4509-8c19-3de401a87db1;queijo mussarela;dairy;cup;;
f3e03793-c435-4ee9-ae10-c62d8cc4dfae;queijo parmesão;dairy;cup;;
2f12986f-8012-4d11-92be-58ea25438647;queijo ricota;dairy;cup;;
5f493ce6-794e-4859-aa1d-904983c4c859;quiabo;vegetable;piece;;
6d58b41a-001e-40e2-b677-16e4d42c653a;quinoa;grain;cup;;
fe18f34b-eaf8-415c-9026-6a48475cd955;rabanetes;vegetable;piece;;
01d47fc8-0ff0-4635-b58f-448f72fd0b5c;raspas de limão siciliano;fruit;pinch;;
7899c55c-91c8-484d-a8fd-7c9f91f44225;repolho;vegetable;piece;;
56ffbd40-48d2-436d-8516-a584e85a76ec;repolho roxo;vegetable;piece;;
620c4697-3449-4a14-8a41-e1704fcfc479;rodelas de limão;fruit;piece;;
b416fdb1-638c-4f6c-afa0-bbabe067c4ae;rodelas de limão siciliano;fruit;piece;;
fd7d0452-c1b5-4038-aaf6-b95bf3f7f1b2;rúcula ;vegetable;piece;;
3731b24c-8bcd-44d4-8a4c-706c2aaa498c;sal de mesa;seasoning;pinch;;
c50fe6a6-1401-49a2-86c6-042e193d0e7b;sal grosso;seasoning;g;;
c857d60c-6804-4bf0-9db2-e83a297be1ad;sal kosher;seasoning;pinch;;
9355a626-4506-4c7c-88f2-76513e66c95d;salmão ?;protein;g;fish;
c17221dc-4992-4ad2-894b-f55099b2a3e2;salmão;protein;g;fish;
356c6a99-d4e3-4258-b61b-0a4540ad673a;salsa;seasoning;cup;;
85e6f729-cdd1-4f95-afea-9c81d5fee775;salsa crespa;seasoning;cup;;
9abdb39b-8c36-4df4-8bb7-2d93808befae;salsicha ?;protein;g;pork;
5d33deb9-8afa-41eb-a89c-c10878bacd44;salsicha;protein;g;pork;
9b5b3230-dc20-4822-848f-1604b930f9cf;sálvia;seasoning;cup;;
c03d82cc-c78c-448a-a5a9-eb9b888c1537;sardinhas em lata;protein;piece;fish;
70344ccd-edbc-4726-b1bf-5335051ee1ad;sementes de chia;nuts_and_seeds;tbsp;;
a5952c2f-f45b-4c5a-b7d6-86ebd080d169;sementes de coentro;seasoning;tsp;;
91680de8-fbf6-4607-a6be-7f381ab657d0;sementes de cominho;seasoning;tsp;;
d6f12f96-bef9-4df4-b0e3-b528a15243f5;sementes de erva-doce;seasoning;tsp;;
12d2640b-dc5d-4343-b4c8-bb1b445fc6e3;sementes de gergelim;nuts_and_seeds;tbsp;;
3b8a8556-c9c1-41b4-96b4-ac4ef045a67b;sherry seco;other;tbsp;;
92d6b3fa-c9da-4731-9b02-56786225ad99;shitake;protein;g;plantBased;
5ed9944d-8218-41ed-8850-e61124d7d8ed;shoyu;seasoning;tbsp;;
536725fa-57a1-4211-b82c-1acc7c5d0767;shoyu escuro;seasoning;tbsp;;
9a79ff1e-e39a-45d7-878b-696d7156fb1b;shoyu light;seasoning;tbsp;;
6f87d540-f2ad-45ce-838c-f2de3723d2f1;soba;other;g;;
d101a323-49e7-4cad-9c9b-71245e884066;sobrecoxa de frango;protein;g;chicken;
e326c938-8217-4336-95d4-3744308032aa;sobrecoxas de pato;protein;g;chicken;
aca9ac98-72d1-4527-aed8-79e13264450c;sour cream;dairy;cup;;
977d51e0-fe4f-4b0f-8299-8687c0bbbbca;spaghetti;grain;g;;
097e926e-eb9d-4adc-b450-24f447f3e392;sriracha;seasoning;tbsp;;
608e9f63-f82d-4328-a3fa-6bb0eb163a0e;suco de laranja;fruit;cup;;
4d3d5b6d-27e5-45d2-b444-a8d94f0b605c;suco de limão;fruit;tbsp;;
ce9c84ce-f1b4-4dee-a0b2-95d5b88dbfb9;suco de limão siciliano;fruit;tbsp;;
2c303964-2c5d-47ab-9a3d-9c2077af3196;tabasco;seasoning;tsp;;
a5f714bb-6ca7-471c-865d-e3d7cbb826b2;tempero cajun;seasoning;tsp;;
82024dc2-347e-4f27-88b9-befa8cc7059f;tempero creole;seasoning;tsp;;
b3017fac-2f0c-4ee9-bf6c-831730867294;tempero de tacos;seasoning;tsp;;
e0828b89-0c5c-4c32-9e4d-5891c1365de5;tilapia;protein;g;fish;
6653b871-3f91-452d-aa88-a376a804da06;tofu;protein;g;plantBased;
b7937ec7-bf48-4714-b1a9-6b6054a5d983;tomate;vegetable;piece;;
d58ff0d6-94dd-4a28-b8bd-8409e824462a;tomates ?;vegetable;piece;;
b4f7db4a-14f2-4a64-a458-a4fef10e8541;tomates cereja;vegetable;piece;;
50bb7aac-4fa4-4440-a2a6-eab2896fcc8a;tomates grape;vegetable;piece;;
0fe7aac6-2b57-4676-9487-f1542e7f5932;tomates italianos;vegetable;piece;;
13321d7e-4404-4f68-a90d-e7fc212186ca;tomato paste;vegetable;tbsp;;
6947ca01-2279-4392-864a-b183c84f9a58;tomilho;seasoning;piece;;
397b3bec-7bb6-4085-a177-d4c9753e4390;tortilhas de milho;grain;piece;;
2e6e98ba-f1cb-45c6-98ff-e9475a0bbacf;tortilhas de trigo;grain;piece;;
3c0257e4-27b1-4e2f-a5cd-0a56e8044699;tortillas;grain;piece;;
f48a6e9c-ee5c-4a7a-95c7-20c330b21019;uvas passas;fruit;cup;;
78fe4886-d77b-48bf-822d-51a08f63fa50;uvas passas douradas;fruit;cup;;
811241f6-6d01-484f-9e33-6dff5929db91;vinagre;other;tbsp;;
f7265878-b256-4f71-b4a6-569d1a736d2c;vinagre balsâmico ;seasoning;tbsp;;
c80dbe83-a622-4730-a8f1-339fcbdfc55d;vinagre de arroz;other;tbsp;;
75f543d3-9679-4024-854b-7170e9138308;vinagre de maçã;seasoning;tbsp;;
aa8e31ed-c509-40cb-8ae9-6490d086941c;vinagre de vinho branco;other;tbsp;;
fde9d81c-3c80-41ab-b805-1efb70931d92;vinagre de vinho tinto;other;tbsp;;
2d808393-0d3f-44e5-ad3f-3e5da4c66bfe;vinho branco;other;tbsp;;
34eb6b31-98e8-4af8-9c7a-0d64d906e2b7;vinho branco seco;other;cup;;
2ed3d6b8-7752-4b02-9008-3bd1c3b7c4d0;vinho tinto;other;cup;;
c7ed9883-a9e5-4d30-b46d-f6aa3255726a;xarope de bordo;sugar_products;tbsp;;
e5cf8f71-b9c4-480e-a160-08c20b8ac946;xarope de milho;sugar_products;cup;;
aeb9802b-ceef-4bac-8cf9-3a1cf9026e85;zataar;seasoning;tbsp;;
